Time(s),Depth(m)
0.00E+00,0.4
1.20E+02,0.428711638
2.40E+02,0.469263466
3.60E+02,0.503560596
4.80E+02,0.526382348
6.00E+02,0.542020699
7.20E+02,0.553519311
8.40E+02,0.56261582
9.60E+02,0.570291679
1.08E+03,0.577113919
1.20E+03,0.583418959
1.32E+03,0.589411284
1.44E+03,0.595217816
1.56E+03,0.600918775
1.68E+03,0.60656567
1.80E+03,0.612192052
1.92E+03,0.617820059
2.04E+03,0.623464485
2.16E+03,0.629135335
2.28E+03,0.634839462
2.40E+03,0.640581623
2.52E+03,0.646365169
2.64E+03,0.652192503
2.76E+03,0.65806538
2.88E+03,0.66398511
3.00E+03,0.669952701
3.12E+03,0.675968945
3.24E+03,0.682034489
3.36E+03,0.688149873
3.48E+03,0.694315567
3.60E+03,0.700531986
3.72E+03,0.706799508
3.84E+03,0.713118484
3.96E+03,0.719489246
4.08E+03,0.725912111
4.20E+03,0.732387385
4.32E+03,0.738915365
4.44E+03,0.745496342
4.56E+03,0.752130602
4.68E+03,0.758818427
4.80E+03,0.765560094
4.92E+03,0.772355879
5.04E+03,0.779206054
5.16E+03,0.78611089
5.28E+03,0.793070652
5.40E+03,0.800085609
5.52E+03,0.807156023
5.64E+03,0.814282156
5.76E+03,0.82146427
5.88E+03,0.828702622
6.00E+03,0.83599747
6.12E+03,0.843349069
6.24E+03,0.84753126
6.36E+03,0.845227666
6.48E+03,0.838979829
6.60E+03,0.830264242
6.72E+03,0.819968824
6.84E+03,0.808651308
6.96E+03,0.796676589
7.08E+03,0.784291358
7.20E+03,0.771666659
7.32E+03,0.758923348
7.44E+03,0.746148007
7.56E+03,0.733403247
7.68E+03,0.720734604
7.80E+03,0.708175271
7.92E+03,0.695749419
8.04E+03,0.683474557
8.16E+03,0.671363247
8.28E+03,0.659424359
8.40E+03,0.647663992
8.52E+03,0.636086159
8.64E+03,0.624693299
8.76E+03,0.613486663
8.88E+03,0.602466599
9.00E+03,0.591632767
9.12E+03,0.580984304
9.24E+03,0.571673814
9.36E+03,0.565675538
9.48E+03,0.561774855
9.60E+03,0.559242472
9.72E+03,0.557594369
9.84E+03,0.556516738
9.96E+03,0.555808176
1.01E+04,0.555339597
1.02E+04,0.555027998
1.03E+04,0.554819715
1.04E+04,0.554679832
1.06E+04,0.554585485
1.07E+04,0.554521609
1.08E+04,0.554478214
1.09E+04,0.554448643
1.10E+04,0.554428439
1.12E+04,0.554414602
1.13E+04,0.554405105
1.14E+04,0.554398574
1.15E+04,0.554394076
1.16E+04,0.554390973
1.18E+04,0.55438883
1.19E+04,0.554387347
1.20E+04,0.554386321
