Time(s),Depth(m)
0.00E+00,0.4
1.20E+02,0.390552985
2.40E+02,0.382758422
3.60E+02,0.377604858
4.80E+02,0.374839534
6.00E+02,0.375091632
7.20E+02,0.37983609
8.40E+02,0.391043406
9.60E+02,0.409769363
1.08E+03,0.434165266
1.20E+03,0.460434209
1.32E+03,0.485362638
1.44E+03,0.50733992
1.56E+03,0.525999477
1.68E+03,0.541613289
1.80E+03,0.554684629
1.92E+03,0.565742968
2.04E+03,0.575259382
2.16E+03,0.583621573
2.28E+03,0.591135074
2.40E+03,0.598034242
2.52E+03,0.604495585
2.64E+03,0.610650298
2.76E+03,0.61659492
2.88E+03,0.622399942
3.00E+03,0.628116513
3.12E+03,0.63378157
3.24E+03,0.639421689
3.36E+03,0.645055938
3.48E+03,0.650697975
3.60E+03,0.656357578
3.72E+03,0.662041748
3.84E+03,0.667755509
3.96E+03,0.673502473
4.08E+03,0.679285254
4.20E+03,0.685105753
4.32E+03,0.69096537
4.44E+03,0.696865146
4.56E+03,0.702805869
4.68E+03,0.708788147
4.80E+03,0.71481246
4.92E+03,0.720879198
5.04E+03,0.726988686
5.16E+03,0.733141202
5.28E+03,0.739336992
5.40E+03,0.745576278
5.52E+03,0.751859263
5.64E+03,0.75818614
5.76E+03,0.764557092
5.88E+03,0.770972293
6.00E+03,0.777431915
6.12E+03,0.783936125
6.24E+03,0.790485088
6.36E+03,0.797078964
6.48E+03,0.803714583
6.60E+03,0.810214047
6.72E+03,0.815931976
6.84E+03,0.820129444
6.96E+03,0.822336058
7.08E+03,0.822401056
7.20E+03,0.820405215
7.32E+03,0.816558084
7.44E+03,0.811122136
7.56E+03,0.804366566
7.68E+03,0.796542765
7.80E+03,0.787873376
7.92E+03,0.778549115
8.04E+03,0.768729705
8.16E+03,0.758546778
8.28E+03,0.748107505
8.40E+03,0.737498315
8.52E+03,0.726788371
8.64E+03,0.71603265
8.76E+03,0.705274588
8.88E+03,0.69454831
9.00E+03,0.68388047
9.12E+03,0.673291764
9.24E+03,0.662798153
9.36E+03,0.652411846
9.48E+03,0.642142096
9.60E+03,0.632001283
9.72E+03,0.622078828
9.84E+03,0.612598569
9.96E+03,0.603829014
1.01E+04,0.595988268
1.02E+04,0.589200333
1.03E+04,0.583492641
1.04E+04,0.578815304
1.06E+04,0.575067454
1.07E+04,0.572122141
1.08E+04,0.569845816
1.09E+04,0.568111457
1.10E+04,0.56680601
1.12E+04,0.56583353
1.13E+04,0.56511545
1.14E+04,0.564589186
1.15E+04,0.564205961
1.16E+04,0.563928422
1.18E+04,0.563728365
1.19E+04,0.56358474
1.20E+04,0.563481987
