Time(s),Flow(m3/s)
0.00E+00,0.478674124
1.20E+02,0.463167335
2.40E+02,0.450761531
3.60E+02,0.443449419
4.80E+02,0.440316393
6.00E+02,0.443045264
7.20E+02,0.454835816
8.40E+02,0.479832038
9.60E+02,0.519829071
1.08E+03,0.570255659
1.20E+03,0.623025248
1.32E+03,0.671931097
1.44E+03,0.714290306
1.56E+03,0.749856431
1.68E+03,0.779486505
1.80E+03,0.804342832
1.92E+03,0.825534881
2.04E+03,0.843996302
2.16E+03,0.860466229
2.28E+03,0.875510108
2.40E+03,0.889551478
2.52E+03,0.902903191
2.64E+03,0.915794109
2.76E+03,0.928390479
2.88E+03,0.940812446
3.00E+03,0.953146522
3.12E+03,0.965454844
3.24E+03,0.977781992
3.36E+03,0.990159949
3.48E+03,1.002611696
3.60E+03,1.015153794
3.72E+03,1.02779824
3.84E+03,1.040553791
3.96E+03,1.053426907
4.08E+03,1.066422418
4.20E+03,1.079544
4.32E+03,1.092794514
4.44E+03,1.106176241
4.56E+03,1.119691052
4.68E+03,1.133340525
4.80E+03,1.147126032
4.92E+03,1.161048798
5.04E+03,1.175109941
5.16E+03,1.189310503
5.28E+03,1.203651473
5.40E+03,1.218133799
5.52E+03,1.2327584
5.64E+03,1.247526175
5.76E+03,1.262438005
5.88E+03,1.277494761
6.00E+03,1.292697302
6.12E+03,1.308046484
6.24E+03,1.323543152
6.36E+03,1.339188151
6.48E+03,1.354965309
6.60E+03,1.370142172
6.72E+03,1.382586715
6.84E+03,1.390406172
6.96E+03,1.392764863
7.08E+03,1.389710718
7.20E+03,1.381789287
7.32E+03,1.369743868
7.44E+03,1.354340269
7.56E+03,1.336281958
7.68E+03,1.316177974
7.80E+03,1.294537946
7.92E+03,1.27177942
8.04E+03,1.24823975
8.16E+03,1.224188799
8.28E+03,1.199840777
8.40E+03,1.175364608
8.52E+03,1.1508927
8.64E+03,1.126528207
8.76E+03,1.102350967
8.88E+03,1.07842231
9.00E+03,1.054788927
9.12E+03,1.031485959
9.24E+03,1.008539466
9.36E+03,0.985968379
9.48E+03,0.963786045
9.60E+03,0.942023883
9.72E+03,0.920970281
9.84E+03,0.901226
9.96E+03,0.883381244
1.01E+04,0.867817544
1.02E+04,0.854669436
1.03E+04,0.843866563
1.04E+04,0.835200842
1.06E+04,0.82839083
1.07E+04,0.823132113
1.08E+04,0.819131328
1.09E+04,0.816125698
1.10E+04,0.813891602
1.12E+04,0.812245839
1.13E+04,0.811042625
1.14E+04,0.810168565
1.15E+04,0.809537041
1.16E+04,0.809082843
1.18E+04,0.808757453
1.19E+04,0.808525118
1.20E+04,0.8083597
