time,distance,h_true,h_pred,Q_true,Q_pred
4000,0.0,0.5366556,0.53617483,1.211395,1.2105525
4000,100.0,0.5777818,0.57649416,1.203581,1.1863897
4000,200.0,0.6167534,0.6165825,1.1947547,1.1647867
4000,300.0,0.6532406,0.6539628,1.1853673,1.1504573
4000,400.0,0.68642265,0.68721265,1.1755031,1.1481917
4000,500.0,0.71425235,0.71414083,1.1652882,1.1645944
4000,600.0,0.7333237,0.7300515,1.1872355,1.2091964
4000,700.0,0.742217,0.7328773,1.2635652,1.2828577
4000,800.0,0.7354908,0.7235667,1.379429,1.3779604
4000,900.0,0.7144377,0.7031252,1.5205423,1.4881748
4000,1000.0,0.68402857,0.6729026,1.6731163,1.6094182
4000,1100.0,0.6454865,0.6362235,1.823832,1.7382921
4000,1200.0,0.6089618,0.59778064,1.959706,1.8683923
4000,1300.0,0.5716512,0.56168646,2.0681345,1.9909945
4000,1400.0,0.5391624,0.5318485,2.136723,2.0928478
4000,1500.0,0.5111001,0.5116772,2.153287,2.1541085
4000,1600.0,0.49835733,0.5044584,2.1398683,2.1341898
4000,1700.0,0.5232099,0.52604705,2.125771,2.035651
4000,1800.0,0.5642731,0.54966104,2.110276,2.0066242
4000,1900.0,0.612981,0.58514124,2.0934083,2.0271385
4000,2000.0,0.6332913,0.63404703,2.076006,2.07748
8000,0.0,0.46039155,0.46093196,0.9696837,0.9691799
8000,100.0,0.50498074,0.50016123,0.9835246,0.96013874
8000,200.0,0.5497513,0.5421734,0.99944806,0.9564802
8000,300.0,0.5944492,0.58643687,1.0166857,0.96639776
8000,400.0,0.6379347,0.6331212,1.0350732,0.99827445
8000,500.0,0.67764354,0.679394,1.054333,1.0568401
8000,600.0,0.7094859,0.713508,1.1041478,1.1412983
8000,700.0,0.73108137,0.73099124,1.2076144,1.2503362
8000,800.0,0.7362856,0.73401046,1.353691,1.3816662
8000,900.0,0.72583777,0.72384036,1.5302688,1.531221
8000,1000.0,0.7040619,0.70184094,1.7242911,1.6957899
8000,1100.0,0.67263067,0.6712074,1.9218158,1.8699336
8000,1200.0,0.64191324,0.6367154,2.108254,2.0458167
8000,1300.0,0.60938376,0.60332966,2.2683043,2.212218
8000,1400.0,0.58097726,0.5757025,2.3862786,2.3541713
8000,1500.0,0.55686975,0.5575223,2.4461265,2.4479492
8000,1600.0,0.5512697,0.55326295,2.471471,2.4421675
8000,1700.0,0.589611,0.6025709,2.4981902,2.4149685
8000,1800.0,0.64763004,0.64027685,2.5272238,2.442028
8000,1900.0,0.70810455,0.68056524,2.5578747,2.5029483
8000,2000.0,0.7312125,0.7314588,2.5888546,2.5887704
12000,0.0,0.4,0.3998016,0.8079714,0.80753666
12000,100.0,0.43265387,0.4295628,0.8079714,0.7857327
12000,200.0,0.4643309,0.4605192,0.8079714,0.77085024
12000,300.0,0.4950159,0.49161652,0.8079715,0.7672475
12000,400.0,0.52433234,0.52124196,0.8079716,0.7782175
12000,500.0,0.55091375,0.5473375,0.8079719,0.8040591
12000,600.0,0.5719535,0.5660922,0.83059573,0.8424763
12000,700.0,0.5859743,0.5750769,0.8920027,0.8930771
12000,800.0,0.58746207,0.5736416,0.9824977,0.9578002
12000,900.0,0.5761438,0.5619435,1.0923855,1.0371156
12000,1000.0,0.5563083,0.54136676,1.2119713,1.1304259
12000,1100.0,0.52787066,0.51502115,1.3315597,1.2342263
12000,1200.0,0.5009003,0.48671547,1.4414558,1.3434147
12000,1300.0,0.47237566,0.4601385,1.5319643,1.4503694
12000,1400.0,0.44742456,0.43858683,1.5933896,1.5450656
12000,1500.0,0.4255752,0.42567086,1.6160355,1.6149981
12000,1600.0,0.41465607,0.4309559,1.6160628,1.6393219
12000,1700.0,0.43566194,0.46007398,1.6161019,1.6470354
12000,1800.0,0.47064403,0.4818653,1.6161661,1.6487815
12000,1900.0,0.5158829,0.5068089,1.6162682,1.6371778
12000,2000.0,0.5361486,0.53765607,1.6163957,1.6178297
