x(m),n_pred,n_true,error
695.0,0.03600678,0.037375,0.0013682209
700.0,0.03609302,0.0375,0.0014069825
705.0,0.036186233,0.037625,0.0014387667
710.0,0.03628742,0.03775,0.0014625788
715.0,0.03637548,0.037874997,0.001499515
719.99994,0.036475815,0.037999995,0.0015241802
725.0,0.036554776,0.038125,0.0015702248
730.0,0.036652632,0.03825,0.0015973672
735.0,0.036744613,0.038374998,0.0016303845
740.0,0.03682916,0.0385,0.0016708411
745.0,0.036920287,0.038625,0.0017047115
750.0,0.037015803,0.03875,0.0017341971
755.0,0.037097055,0.038875,0.0017779432
760.0,0.03719044,0.038999997,0.001809556
765.0,0.037273504,0.039125,0.0018514954
770.0,0.03736466,0.03925,0.0018853396
775.0,0.03743898,0.039375,0.0019360185
780.0,0.037535444,0.039499998,0.0019645542
784.99994,0.037606597,0.039624996,0.0020183995
789.99994,0.03769876,0.039749995,0.0020512342
794.99994,0.03777707,0.039874997,0.002097927
799.99994,0.037849307,0.04,0.002150692
804.99994,0.03793611,0.04,0.002063889
810.0,0.038010076,0.04,0.0019899234
815.0,0.038081743,0.04,0.0019182563
820.0,0.038148336,0.04,0.001851663
825.0,0.038237773,0.04,0.0017622262
830.0,0.03830836,0.04,0.0016916394
835.0,0.03837152,0.04,0.0016284809
840.0,0.038443156,0.04,0.0015568435
844.99994,0.038511813,0.04,0.0014881864
849.99994,0.03857732,0.04,0.0014226809
854.99994,0.038637422,0.04,0.0013625771
860.0,0.038705856,0.04,0.0012941435
865.0,0.0387668,0.04,0.0012331977
870.0,0.038822904,0.04,0.0011770949
875.0,0.03888035,0.04,0.0011196509
880.0,0.038938448,0.04,0.0010615513
885.0,0.038994163,0.04,0.0010058358
890.0,0.039048836,0.04,0.00095116347
895.0,0.03910253,0.04,0.00089747086
900.0,0.03915094,0.04,0.0008490607
905.0,0.039187104,0.04,0.0008128956
909.99994,0.039237894,0.04,0.000762105
914.99994,0.039283056,0.04,0.0007169433
919.99994,0.03932985,0.04,0.0006701499
924.99994,0.03935637,0.04,0.0006436296
929.99994,0.0394042,0.04,0.0005958006
935.0,0.03944248,0.04,0.0005575195
940.0,0.03947543,0.04,0.0005245693
945.0,0.039511137,0.04,0.0004888624
950.0,0.039535828,0.04,0.00046417117
955.0,0.03956983,0.04,0.00043017045
960.0,0.039596125,0.04,0.00040387362
965.0,0.039630927,0.04,0.00036907196
969.99994,0.03964879,0.04,0.0003512092
974.99994,0.039680675,0.04,0.00031932443
979.99994,0.03968954,0.04,0.00031045824
984.99994,0.039708525,0.04,0.00029147416
989.99994,0.039740417,0.04,0.00025958195
995.0,0.039756827,0.04,0.00024317205
1000.0,0.039767534,0.04,0.00023246557
1005.0,0.039784223,0.04,0.00021577626
1010.0,0.039815433,0.04,0.00018456578
1015.0,0.03983286,0.04,0.00016713887
1020.0,0.039842654,0.04,0.00015734509
1025.0,0.039860815,0.04,0.0001391843
1030.0,0.03987363,0.04,0.0001263693
1035.0,0.03988553,0.04,0.00011447072
1040.0,0.03989871,0.04,0.00010129064
1045.0001,0.039913513,0.04,8.648634e-05
1050.0001,0.03992899,0.04,7.100776e-05
1055.0001,0.039945178,0.04,5.4821372e-05
1060.0001,0.03996426,0.04,3.5740435e-05
1065.0,0.039981026,0.04,1.8972903e-05
