Time(s),Flow(m3/s)
0.00E+00,0.533905753
1.20E+02,0.593962788
2.40E+02,0.684643643
3.60E+02,0.748143915
4.80E+02,0.784924511
6.00E+02,0.808808718
7.20E+02,0.8264836
8.40E+02,0.841042205
9.60E+02,0.853982099
1.08E+03,0.866068028
1.20E+03,0.877709544
1.32E+03,0.889134947
1.44E+03,0.900475832
1.56E+03,0.911810228
1.68E+03,0.923185553
1.80E+03,0.93463127
1.92E+03,0.946166071
2.04E+03,0.957802073
2.16E+03,0.969547318
2.28E+03,0.981407289
2.40E+03,0.993385849
2.52E+03,1.005485825
2.64E+03,1.017709378
2.76E+03,1.030058238
2.88E+03,1.042533857
3.00E+03,1.055137505
3.12E+03,1.067870332
3.24E+03,1.080733412
3.36E+03,1.093727768
3.48E+03,1.106854391
3.60E+03,1.120114249
3.72E+03,1.133508297
3.84E+03,1.147037483
3.96E+03,1.160702747
4.08E+03,1.17450503
4.20E+03,1.188445268
4.32E+03,1.2025244
4.44E+03,1.216743362
4.56E+03,1.231103096
4.68E+03,1.245604542
4.80E+03,1.260248644
4.92E+03,1.275036348
5.04E+03,1.289968602
5.16E+03,1.30504636
5.28E+03,1.320270576
5.40E+03,1.33564221
5.52E+03,1.351162225
5.64E+03,1.36683159
5.76E+03,1.382651277
5.88E+03,1.398622264
6.00E+03,1.414745536
6.12E+03,1.431022077
6.24E+03,1.433124265
6.36E+03,1.41699157
6.48E+03,1.394317852
6.60E+03,1.36863083
6.72E+03,1.34148716
6.84E+03,1.313676496
6.96E+03,1.285638882
7.08E+03,1.257635984
7.20E+03,1.229830326
7.32E+03,1.202325589
7.44E+03,1.175188785
7.56E+03,1.148463245
7.68E+03,1.12217662
7.80E+03,1.096346011
7.92E+03,1.070981338
8.04E+03,1.046087597
8.16E+03,1.0216664
8.28E+03,0.997717016
8.40E+03,0.974237089
8.52E+03,0.951223137
8.64E+03,0.928670888
8.76E+03,0.906575515
8.88E+03,0.884931796
9.00E+03,0.863734229
9.12E+03,0.842977093
9.24E+03,0.827039097
9.36E+03,0.819142345
9.48E+03,0.814634154
9.60E+03,0.812002935
9.72E+03,0.810440414
9.84E+03,0.809498795
9.96E+03,0.808924203
1.01E+04,0.808569857
1.02E+04,0.808349401
1.03E+04,0.808211241
1.04E+04,0.808124138
1.06E+04,0.808068956
1.07E+04,0.808033859
1.08E+04,0.808011465
1.09E+04,0.80799714
1.10E+04,0.807987958
1.12E+04,0.807982063
1.13E+04,0.807978274
1.14E+04,0.807975835
1.15E+04,0.807974265
1.16E+04,0.807973253
1.18E+04,0.8079726
1.19E+04,0.80797218
1.20E+04,0.807971908
