Time(s),Depth(m)
0.00E+00,0.4
1.20E+02,0.36781623
2.40E+02,0.341364334
3.60E+02,0.321797276
4.80E+02,0.309633038
6.00E+02,0.305000221
7.20E+02,0.3081789
8.40E+02,0.32010177
9.60E+02,0.339884473
1.08E+03,0.362583088
1.20E+03,0.383226731
1.32E+03,0.399855283
1.44E+03,0.412635333
1.56E+03,0.422433446
1.68E+03,0.430125561
1.80E+03,0.436398453
1.92E+03,0.441740584
2.04E+03,0.446483713
2.16E+03,0.450847736
2.28E+03,0.454976385
2.40E+03,0.458962827
2.52E+03,0.462867137
2.64E+03,0.466727936
2.76E+03,0.470570007
2.88E+03,0.47440925
3.00E+03,0.478255875
3.12E+03,0.482116448
3.24E+03,0.485995212
3.36E+03,0.489894919
3.48E+03,0.493817376
3.60E+03,0.497763778
3.72E+03,0.501734937
3.84E+03,0.505731411
3.96E+03,0.509753602
4.08E+03,0.513801809
4.20E+03,0.517876267
4.32E+03,0.521977168
4.44E+03,0.526104677
4.56E+03,0.530258944
4.68E+03,0.534440107
4.80E+03,0.538648299
4.92E+03,0.542883646
5.04E+03,0.547146277
5.16E+03,0.551436317
5.28E+03,0.555753891
5.40E+03,0.560099127
5.52E+03,0.564472152
5.64E+03,0.568873094
5.76E+03,0.573302085
5.88E+03,0.577759257
6.00E+03,0.582244743
6.12E+03,0.586758681
6.24E+03,0.591301209
6.36E+03,0.595872469
6.48E+03,0.600470261
6.60E+03,0.604874513
6.72E+03,0.6082099
6.84E+03,0.609659812
6.96E+03,0.608987206
7.08E+03,0.606389174
7.20E+03,0.602236885
7.32E+03,0.596913986
7.44E+03,0.590749255
7.56E+03,0.584000875
7.68E+03,0.576862306
7.80E+03,0.569474643
7.92E+03,0.561939119
8.04E+03,0.554327621
8.16E+03,0.546690847
8.28E+03,0.539064368
8.40E+03,0.531473037
8.52E+03,0.523934138
8.64E+03,0.516459628
8.76E+03,0.509057719
8.88E+03,0.501733988
9.00E+03,0.494492167
9.12E+03,0.48733469
9.24E+03,0.480263079
9.36E+03,0.473278216
9.48E+03,0.46638053
9.60E+03,0.459574589
9.72E+03,0.452967463
9.84E+03,0.446863271
9.96E+03,0.441569209
1.01E+04,0.437240958
1.02E+04,0.433873636
1.03E+04,0.431357156
1.04E+04,0.429535925
1.06E+04,0.4282509
1.07E+04,0.42736211
1.08E+04,0.426756871
1.09E+04,0.426349674
1.10E+04,0.426078268
1.12E+04,0.425898672
1.13E+04,0.425780487
1.14E+04,0.425703047
1.15E+04,0.425652472
1.16E+04,0.425619526
1.18E+04,0.425598106
1.19E+04,0.4255842
1.20E+04,0.425575183
