Time(s),Flow(m3/s)
0.00E+00,1.436553673
1.20E+02,1.265730173
2.40E+02,1.127382326
3.60E+02,1.029906732
4.80E+02,0.972352136
6.00E+02,0.953079372
7.20E+02,0.973054028
8.40E+02,1.038272469
9.60E+02,1.145446096
1.08E+03,1.269144656
1.20E+03,1.382857949
1.32E+03,1.475593937
1.44E+03,1.547787452
1.56E+03,1.603860806
1.68E+03,1.648459637
1.80E+03,1.685296151
1.92E+03,1.717043775
2.04E+03,1.745534939
2.16E+03,1.771992992
2.28E+03,1.79722246
2.40E+03,1.821747744
2.52E+03,1.845908875
2.64E+03,1.869925742
2.76E+03,1.893940445
2.88E+03,1.918044924
3.00E+03,1.942298865
3.12E+03,1.966741247
3.24E+03,1.991397768
3.36E+03,2.016285605
3.48E+03,2.041416475
3.60E+03,2.066798589
3.72E+03,2.092437909
3.84E+03,2.118338948
3.96E+03,2.144505291
4.08E+03,2.170939923
4.20E+03,2.197645443
4.32E+03,2.224624202
4.44E+03,2.25187839
4.56E+03,2.279410094
4.68E+03,2.307221336
4.80E+03,2.335314095
4.92E+03,2.363690326
5.04E+03,2.392351965
5.16E+03,2.421300942
5.28E+03,2.450539182
5.40E+03,2.480068609
5.52E+03,2.509891148
5.64E+03,2.540008727
5.76E+03,2.570423279
5.88E+03,2.601136743
6.00E+03,2.632151062
6.12E+03,2.663468187
6.24E+03,2.69509008
6.36E+03,2.727018707
6.48E+03,2.759232197
6.60E+03,2.789794483
6.72E+03,2.811879512
6.84E+03,2.819929121
6.96E+03,2.812850978
7.08E+03,2.792488569
7.20E+03,2.76169655
7.32E+03,2.723263089
7.44E+03,2.67950599
7.56E+03,2.632208742
7.68E+03,2.582687484
7.80E+03,2.531890162
7.92E+03,2.480489342
8.04E+03,2.428957387
8.16E+03,2.377623447
8.28E+03,2.326715189
8.40E+03,2.276388764
8.52E+03,2.226750088
8.64E+03,2.17786985
8.76E+03,2.129794065
8.88E+03,2.082551474
9.00E+03,2.036158724
9.12E+03,1.990623991
9.24E+03,1.945949524
9.36E+03,1.902133414
9.48E+03,1.859170834
9.60E+03,1.817091549
9.72E+03,1.776662251
9.84E+03,1.739830539
9.96E+03,1.708345439
1.01E+04,1.68293306
1.02E+04,1.663372261
1.03E+04,1.648878197
1.04E+04,1.638458423
1.06E+04,1.631144333
1.07E+04,1.626105524
1.08E+04,1.622684588
1.09E+04,1.620388298
1.10E+04,1.61886043
1.12E+04,1.617850731
1.13E+04,1.617186957
1.14E+04,1.616752352
1.15E+04,1.616468682
1.16E+04,1.61628397
1.18E+04,1.616163919
1.19E+04,1.616086003
1.20E+04,1.61603549
