Time(s),Depth(m)
0.00E+00,0.4
1.20E+02,0.371327806
2.40E+02,0.347547158
3.60E+02,0.329414136
4.80E+02,0.317605706
6.00E+02,0.312741221
7.20E+02,0.315333318
8.40E+02,0.326206161
9.60E+02,0.345265643
1.08E+03,0.369069754
1.20E+03,0.392749802
1.32E+03,0.413321394
1.44E+03,0.430035496
1.56E+03,0.443303029
1.68E+03,0.453872765
1.80E+03,0.462465337
1.92E+03,0.46966179
2.04E+03,0.475895594
2.16E+03,0.481477301
2.28E+03,0.486624314
2.40E+03,0.491486686
2.52E+03,0.496167067
2.64E+03,0.500735274
2.76E+03,0.505238625
2.88E+03,0.509709122
3.00E+03,0.514168397
3.12E+03,0.51863108
3.24E+03,0.523107085
3.36E+03,0.527603152
3.48E+03,0.532123888
3.60E+03,0.536672468
3.72E+03,0.541251102
3.84E+03,0.545861354
3.96E+03,0.550504351
4.08E+03,0.555180927
4.20E+03,0.559891721
4.32E+03,0.564637238
4.44E+03,0.569417892
4.56E+03,0.574234042
4.68E+03,0.579086002
4.80E+03,0.583974065
4.92E+03,0.588898503
5.04E+03,0.59385958
5.16E+03,0.598857551
5.28E+03,0.603892669
5.40E+03,0.608965186
5.52E+03,0.614075353
5.64E+03,0.619223422
5.76E+03,0.624409649
5.88E+03,0.629634288
6.00E+03,0.6348976
6.12E+03,0.640199848
6.24E+03,0.645541297
6.36E+03,0.650922218
6.48E+03,0.656341217
6.60E+03,0.661646866
6.72E+03,0.666151928
6.84E+03,0.669030768
6.96E+03,0.669833608
7.08E+03,0.668527335
7.20E+03,0.665333488
7.32E+03,0.660574887
7.44E+03,0.654582828
7.56E+03,0.647653698
7.68E+03,0.640034613
7.80E+03,0.631923336
7.92E+03,0.623474095
8.04E+03,0.614805087
8.16E+03,0.606005771
8.28E+03,0.597143211
8.40E+03,0.588267294
8.52E+03,0.579414876
8.64E+03,0.570613002
8.76E+03,0.561881376
8.88E+03,0.553234234
9.00E+03,0.544681746
9.12E+03,0.536231076
9.24E+03,0.527887161
9.36E+03,0.519653295
9.48E+03,0.511531562
9.60E+03,0.503526373
9.72E+03,0.495715313
9.84E+03,0.488342615
9.96E+03,0.481705746
1.01E+04,0.476013971
1.02E+04,0.471340728
1.03E+04,0.467643476
1.04E+04,0.464807197
1.06E+04,0.462685719
1.07E+04,0.461131153
1.08E+04,0.460010711
1.09E+04,0.459213805
1.10E+04,0.458652977
1.12E+04,0.458261595
1.13E+04,0.457990276
1.14E+04,0.457803176
1.15E+04,0.457674689
1.16E+04,0.457586743
1.18E+04,0.457526702
1.19E+04,0.457485795
1.20E+04,0.45745797
