Time(s),Depth(m)
0.00E+00,0.4
1.20E+02,0.428711638
2.40E+02,0.469263466
3.60E+02,0.503560562
4.80E+02,0.526382017
6.00E+02,0.542019621
7.20E+02,0.553516923
8.40E+02,0.562611398
9.60E+02,0.570284254
1.08E+03,0.577102253
1.20E+03,0.583401642
1.32E+03,0.589386905
1.44E+03,0.595185132
1.56E+03,0.60087681
1.68E+03,0.60651374
1.80E+03,0.612129734
1.92E+03,0.61774713
2.04E+03,0.62338085
2.16E+03,0.629040966
2.28E+03,0.634734346
2.40E+03,0.640465723
2.52E+03,0.646238403
2.64E+03,0.652054725
2.76E+03,0.657916374
2.88E+03,0.663824591
3.00E+03,0.669780313
3.12E+03,0.675784267
3.24E+03,0.681837037
3.36E+03,0.687939106
3.48E+03,0.694090888
3.60E+03,0.700292749
3.72E+03,0.70654502
3.84E+03,0.712848008
3.96E+03,0.719202001
4.08E+03,0.725607274
4.20E+03,0.732064093
4.32E+03,0.738572716
4.44E+03,0.745133395
4.56E+03,0.751746377
4.68E+03,0.758411905
4.80E+03,0.765130218
4.92E+03,0.771901552
5.04E+03,0.778726139
5.16E+03,0.785604211
5.28E+03,0.792535995
5.40E+03,0.799521715
5.52E+03,0.806561596
5.64E+03,0.813655857
5.76E+03,0.820804718
5.88E+03,0.828008395
6.00E+03,0.835267103
6.12E+03,0.842581056
6.24E+03,0.846723999
6.36E+03,0.844375736
6.48E+03,0.838081188
6.60E+03,0.829320774
6.72E+03,0.81898563
6.84E+03,0.807636205
6.96E+03,0.795639559
7.08E+03,0.783243816
7.20E+03,0.770620618
7.32E+03,0.757890616
7.44E+03,0.74513951
7.56E+03,0.732428545
7.68E+03,0.719801605
7.80E+03,0.707290114
7.92E+03,0.694916497
8.04E+03,0.682696638
8.16E+03,0.670641661
8.28E+03,0.658759205
8.40E+03,0.647054362
8.52E+03,0.635530351
8.64E+03,0.624189012
8.76E+03,0.613031167
8.88E+03,0.602056885
9.00E+03,0.591265667
9.12E+03,0.580656589
9.24E+03,0.571382215
9.36E+03,0.565417794
9.48E+03,0.561547678
9.60E+03,0.559042023
9.72E+03,0.557416823
9.84E+03,0.556358562
9.96E+03,0.55566623
1.01E+04,0.555211146
1.02E+04,0.554910683
1.03E+04,0.554711522
1.04E+04,0.554579055
1.06E+04,0.554490688
1.07E+04,0.554431596
1.08E+04,0.554392
1.09E+04,0.554365421
1.10E+04,0.554347557
1.12E+04,0.554335536
1.13E+04,0.554327439
1.14E+04,0.554321982
1.15E+04,0.554318301
1.16E+04,0.554315818
1.18E+04,0.554314141
1.19E+04,0.554313009
1.20E+04,0.554312245
