Time(s),Flow(m3/s)
0.00E+00,0.648127827
1.20E+02,0.582610647
2.40E+02,0.528565262
3.60E+02,0.489006988
4.80E+02,0.464505933
6.00E+02,0.455779456
7.20E+02,0.463793921
8.40E+02,0.490877757
9.60E+02,0.537301754
1.08E+03,0.595084689
1.20E+03,0.652669182
1.32E+03,0.702914419
1.44E+03,0.743991257
1.56E+03,0.776851029
1.68E+03,0.803269727
1.80E+03,0.82496814
1.92E+03,0.843339233
2.04E+03,0.859425161
2.16E+03,0.873974331
2.28E+03,0.88751175
2.40E+03,0.900400514
2.52E+03,0.912889517
2.64E+03,0.925148427
2.76E+03,0.937292535
2.88E+03,0.949400074
3.00E+03,0.961524135
3.12E+03,0.973700814
3.24E+03,0.985954739
3.36E+03,0.998302805
3.48E+03,1.010756702
3.60E+03,1.02332461
3.72E+03,1.036012347
3.84E+03,1.048824136
3.96E+03,1.061763123
4.08E+03,1.074831728
4.20E+03,1.088031877
4.32E+03,1.10136516
4.44E+03,1.114832943
4.56E+03,1.128436434
4.68E+03,1.142176736
4.80E+03,1.156054878
4.92E+03,1.170071838
5.04E+03,1.184228561
5.16E+03,1.198525965
5.28E+03,1.212964951
5.40E+03,1.227546407
5.52E+03,1.242271212
5.64E+03,1.257140239
5.76E+03,1.272154353
5.88E+03,1.287314417
6.00E+03,1.30262129
6.12E+03,1.318075829
6.24E+03,1.333678889
6.36E+03,1.349431322
6.48E+03,1.365325882
6.60E+03,1.380747916
6.72E+03,1.393296541
6.84E+03,1.400502555
6.96E+03,1.401292809
7.08E+03,1.39585439
7.20E+03,1.385041045
7.32E+03,1.369910885
7.44E+03,1.351478069
7.56E+03,1.330612373
7.68E+03,1.308017307
7.80E+03,1.28424291
7.92E+03,1.25971031
8.04E+03,1.234737556
8.16E+03,1.209562546
8.28E+03,1.184361907
8.40E+03,1.159265933
8.52E+03,1.134370114
8.64E+03,1.109743924
8.76E+03,1.085437441
8.88E+03,1.06148632
9.00E+03,1.037915499
9.12E+03,1.014741961
9.24E+03,0.991976791
9.36E+03,0.969626692
9.48E+03,0.947695122
9.60E+03,0.926195767
9.72E+03,0.905387596
9.84E+03,0.885987192
9.96E+03,0.868766379
1.01E+04,0.854195883
1.02E+04,0.842374597
1.03E+04,0.833115986
1.04E+04,0.826072273
1.06E+04,0.820839269
1.07E+04,0.817025532
1.08E+04,0.814288821
1.09E+04,0.812349158
1.10E+04,0.810987914
1.12E+04,0.810040062
1.13E+04,0.809384144
1.14E+04,0.808932469
1.15E+04,0.80862264
1.16E+04,0.808410762
1.18E+04,0.808266215
1.19E+04,0.808167791
1.20E+04,0.808100874
