Time(s),Flow(m3/s)
0.00E+00,0.533905753
1.20E+02,0.593689565
2.40E+02,0.68432584
3.60E+02,0.747744701
4.80E+02,0.784453212
6.00E+02,0.808297044
7.20E+02,0.825962296
8.40E+02,0.840533433
9.60E+02,0.853498659
1.08E+03,0.865615155
1.20E+03,0.877287272
1.32E+03,0.888740168
1.44E+03,0.900103824
1.56E+03,0.911455678
1.68E+03,0.922843189
1.80E+03,0.934296204
1.92E+03,0.945833962
2.04E+03,0.957469167
2.16E+03,0.969210419
2.28E+03,0.981063695
2.40E+03,0.993033275
2.52E+03,1.005122323
2.64E+03,1.017333264
2.76E+03,1.029668027
2.88E+03,1.04212821
3.00E+03,1.054715182
3.12E+03,1.06743016
3.24E+03,1.080274253
3.36E+03,1.093248497
3.48E+03,1.106353877
3.60E+03,1.119591343
3.72E+03,1.132961817
3.84E+03,1.146466207
3.96E+03,1.160105405
4.08E+03,1.173880294
4.20E+03,1.187791749
4.32E+03,1.201840642
4.44E+03,1.216027839
4.56E+03,1.230354201
4.68E+03,1.24482059
4.80E+03,1.259427861
4.92E+03,1.274176871
5.04E+03,1.289068473
5.16E+03,1.30410352
5.28E+03,1.319282862
5.40E+03,1.33460735
5.52E+03,1.350077833
5.64E+03,1.36569516
5.76E+03,1.38146018
5.88E+03,1.397373741
6.00E+03,1.413436691
6.12E+03,1.429649882
6.24E+03,1.431597468
6.36E+03,1.415493349
6.48E+03,1.393017077
6.60E+03,1.36761677
6.72E+03,1.340793127
6.84E+03,1.313299449
6.96E+03,1.285553812
7.08E+03,1.257806103
7.20E+03,1.230214062
7.32E+03,1.202881192
7.44E+03,1.175877144
7.56E+03,1.149249414
7.68E+03,1.123030459
7.80E+03,1.097242241
7.92E+03,1.071899251
8.04E+03,1.047010586
8.16E+03,1.022581411
8.28E+03,0.998614001
8.40E+03,0.975108499
8.52E+03,0.952063463
8.64E+03,0.929476274
8.76E+03,0.907343424
8.88E+03,0.885660741
9.00E+03,0.864423546
9.12E+03,0.843626761
9.24E+03,0.827669801
9.36E+03,0.819710518
9.48E+03,0.815114601
9.60E+03,0.812392411
9.72E+03,0.810746738
9.84E+03,0.80973414
9.96E+03,0.809101469
1.01E+04,0.808700935
1.02E+04,0.808444498
1.03E+04,0.808278746
1.04E+04,0.808170749
1.06E+04,0.808099909
1.07E+04,0.808053185
1.08E+04,0.808022223
1.09E+04,0.808001629
1.10E+04,0.807987888
1.12E+04,0.807978696
1.13E+04,0.807972535
1.14E+04,0.807968399
1.15E+04,0.807965617
1.16E+04,0.807963745
1.18E+04,0.807962484
1.19E+04,0.807961634
1.20E+04,0.807961061
