time,distance,h_error,Q_error,h_true,h_pred,Q_true,Q_pred
30.0,600.0,0.0035312772,0.009242058,0.40544978,0.40898106,0.50485706,0.5140991
30.0,700.0,0.003703773,0.008715212,0.40473145,0.40843523,0.4701187,0.4788339
30.0,800.0,0.004778087,0.0055426657,0.40267357,0.40745166,0.44247964,0.4480223
30.0,900.0,0.005298406,0.010135651,0.39999732,0.40529573,0.43378553,0.44392118
30.0,1000.0,0.0035212338,0.0070631504,0.39999998,0.4035212,0.43379837,0.44086152
30.0,1100.0,0.0017400682,0.0031307042,0.39999974,0.4017398,0.4337996,0.4369303
30.0,1200.0,0.0009455085,0.0002143979,0.39924446,0.40018997,0.4351115,0.4353259
30.0,1300.0,0.0011667013,0.001806885,0.39785242,0.39901912,0.44477725,0.44658414
30.0,1400.0,0.0004144013,0.001103282,0.39770976,0.39812416,0.45941436,0.46051764
30.0,1500.0,0.00020068884,0.0011920631,0.3975507,0.39735,0.47503373,0.47384167
30.0,1600.0,0.00059077144,0.002306223,0.39737457,0.3967838,0.49174517,0.48943895
30.0,1700.0,0.00075536966,0.0023456812,0.3971788,0.39642343,0.50966656,0.5073209
30.0,1800.0,0.00069466233,0.0020457506,0.39696038,0.39626572,0.5289333,0.52688754
30.0,1900.0,0.0004926622,0.002316177,0.3967157,0.39622304,0.5497012,0.54738504
30.0,2000.0,0.00022774935,0.003914416,0.39653382,0.39630607,0.5719458,0.5680314
40.0,0.0,0.0002450347,0.022304952,0.4011773,0.40142232,0.8364856,0.8587906
40.0,100.0,0.013070345,0.039051175,0.41760182,0.40453148,0.8151861,0.7761349
40.0,200.0,0.0073775947,0.02188319,0.41488457,0.40750697,0.7296187,0.70773554
40.0,300.0,0.002128899,0.005918622,0.41215232,0.41002342,0.65748286,0.65156424
40.0,400.0,0.0015465915,0.0046001077,0.41011775,0.41166434,0.59871066,0.60331076
40.0,500.0,0.0037267208,0.010123551,0.40855986,0.41228658,0.5498292,0.55995274
