time,distance,h_true,h_pred,Q_true,Q_pred
4000,0.0,0.5366556,0.53661644,1.2112393,1.2105834
4000,100.0,0.57788026,0.5775284,1.2034206,1.2015615
4000,200.0,0.6171254,0.61763054,1.1945733,1.1924844
4000,300.0,0.6543231,0.6555876,1.1851296,1.1832627
4000,400.0,0.689265,0.69048417,1.1751409,1.1735338
4000,500.0,0.72133136,0.72109455,1.1646819,1.163917
4000,600.0,0.74903643,0.7440335,1.1538644,1.1529744
4000,700.0,0.7689471,0.7581005,1.1428504,1.1411948
4000,800.0,0.7726647,0.76362246,1.1318531,1.1309133
4000,900.0,0.7596676,0.756399,1.1210778,1.1187061
4000,1000.0,0.73366845,0.7374457,1.110675,1.1075801
4000,1100.0,0.69673973,0.6959844,1.100748,1.0967927
4000,1200.0,0.6594378,0.6599519,1.0913256,1.0877191
4000,1300.0,0.6196395,0.62113947,1.0824391,1.0799223
4000,1400.0,0.58372384,0.58367014,1.0740556,1.0729381
4000,1500.0,0.5520595,0.552162,1.0661048,1.0654546
4000,1600.0,0.5396318,0.54487306,1.0583184,1.0523779
4000,1700.0,0.5702542,0.5770883,1.0500183,1.0445712
4000,1800.0,0.6191319,0.61283743,1.0407935,1.0359893
4000,1900.0,0.672387,0.65216523,1.0307794,1.0271083
4000,2000.0,0.69322944,0.69315046,1.0204871,1.0196083
8000,0.0,0.46039155,0.46035153,0.9694965,0.9689138
8000,100.0,0.5051276,0.5070186,0.9833496,0.9867825
8000,200.0,0.55031055,0.5538718,0.9993298,1.0039076
8000,300.0,0.5960322,0.5999227,1.0167159,1.0203841
8000,400.0,0.6418695,0.64459306,1.035417,1.0368594
8000,500.0,0.6867521,0.68641526,1.0552559,1.0544646
8000,600.0,0.72849566,0.7213163,1.0759512,1.072339
8000,700.0,0.7628077,0.747542,1.0971127,1.091315
8000,800.0,0.780601,0.76457757,1.1182654,1.1135229
8000,900.0,0.78061014,0.7692997,1.138969,1.1318446
8000,1000.0,0.76553494,0.7617236,1.1589028,1.1524541
8000,1100.0,0.73783445,0.7347523,1.1778566,1.1685282
8000,1200.0,0.70813763,0.70785457,1.1957589,1.1888974
8000,1300.0,0.6745734,0.6767247,1.2125435,1.2086501
8000,1400.0,0.64390856,0.6449761,1.2282687,1.2269993
8000,1500.0,0.61771315,0.61742187,1.2430946,1.2431233
8000,1600.0,0.61690646,0.6186165,1.2576066,1.247557
8000,1700.0,0.6690456,0.67196935,1.2729038,1.2564267
8000,1800.0,0.74166065,0.7254438,1.289117,1.2723804
8000,1900.0,0.809327,0.77895826,1.3056363,1.2931124
8000,2000.0,0.8333776,0.83336705,1.3220326,1.3207955
12000,0.0,0.4,0.39975676,0.80795985,0.80786014
12000,100.0,0.43266854,0.43385863,0.80795985,0.806786
12000,200.0,0.46440554,0.46695936,0.8079599,0.8062178
12000,300.0,0.49531034,0.49820754,0.80796003,0.8062968
12000,400.0,0.52536935,0.5273312,0.80796033,0.8068653
12000,500.0,0.5543122,0.5537395,0.80796105,0.80742097
12000,600.0,0.5812109,0.5754467,0.80796254,0.80724657
12000,700.0,0.6033802,0.5920364,0.8079653,0.80564374
12000,800.0,0.6129697,0.6024302,0.8079697,0.8026697
12000,900.0,0.60824263,0.6001754,0.8079766,0.8040293
12000,1000.0,0.5922803,0.5912104,0.8079864,0.802362
12000,1100.0,0.5656246,0.5645465,0.8079997,0.80467206
12000,1200.0,0.53865707,0.53873575,0.808017,0.80542594
12000,1300.0,0.5087937,0.50976634,0.80803907,0.80660605
12000,1400.0,0.4817514,0.48122376,0.80806667,0.807528
12000,1500.0,0.45745796,0.4569664,0.8081009,0.8078709
12000,1600.0,0.44672555,0.4483528,0.80814475,0.81459683
12000,1700.0,0.47246248,0.4783351,0.80821186,0.8211362
12000,1800.0,0.5149507,0.50966877,0.8083303,0.82348245
12000,1900.0,0.5655652,0.54552084,0.8085192,0.8190086
12000,2000.0,0.586662,0.586991,0.8087515,0.8085195
