time,distance,h_error,Q_error,h_true,h_pred,Q_true,Q_pred
0.0,0.0,0.00019949675,0.0012827516,0.4,0.4001995,0.86759686,0.8663141
0.0,100.0,4.49121e-05,7.1525574e-07,0.4,0.40004492,0.7711972,0.7711979
0.0,200.0,8.884072e-05,0.0006803274,0.4,0.40008885,0.6940775,0.69339716
0.0,300.0,0.0002757907,0.0002772808,0.4,0.4002758,0.63097954,0.63070226
0.0,400.0,0.00033658743,0.00055366755,0.4,0.4003366,0.57839787,0.57895154
0.0,500.0,4.592538e-05,1.7046928e-05,0.4,0.40004593,0.53390574,0.5338887
0.0,600.0,2.0742416e-05,0.00029164553,0.4,0.39997926,0.49576962,0.49606127
0.0,700.0,0.00016406178,0.00020360947,0.4,0.40016407,0.4627183,0.46292192
0.0,800.0,4.3213367e-05,0.0002477169,0.4,0.3999568,0.43379843,0.43404615
0.0,900.0,6.315112e-05,0.00011482835,0.4,0.39993685,0.43379843,0.43391326
0.0,1000.0,0.00012722611,4.836917e-05,0.4,0.39987278,0.43379843,0.4338468
0.0,1100.0,0.00019574165,0.0008265674,0.4,0.39980426,0.46855584,0.46772927
0.0,1200.0,0.00013393164,0.0008431077,0.4,0.39986607,0.5009073,0.5017504
0.0,1300.0,0.0003322661,0.0022025704,0.4,0.39966774,0.54843086,0.5462283
0.0,1400.0,0.00053700805,0.0007107854,0.4,0.399463,0.5973668,0.596656
0.0,1500.0,0.0002835989,0.0016624331,0.4,0.3997164,0.64812785,0.6464654
0.0,1600.0,0.00025057793,0.001776278,0.4,0.39974943,0.70112413,0.69934785
0.0,1700.0,5.2899122e-05,0.0013209581,0.4,0.4000529,0.6604138,0.65909284
0.0,1800.0,0.0003605187,0.00050359964,0.4,0.40036052,0.60874623,0.60824263
0.0,1900.0,0.0004040599,7.265806e-05,0.4,0.40040407,0.5412024,0.54112977
0.0,2000.0,0.0006735623,0.00061398745,0.4,0.40067357,0.4589948,0.4596088
10.0,0.0,0.00018325448,0.008185208,0.400294,0.40047726,0.85465235,0.86283755
