epoch,mean_n
0,0.03510160744190216
1,0.035203151404857635
2,0.035304706543684006
3,0.035406265407800674
4,0.03550776094198227
5,0.03560948744416237
6,0.03571110591292381
7,0.03581256791949272
8,0.03591408580541611
9,0.03601549565792084
10,0.03611692413687706
11,0.03621834143996239
12,0.03631939738988876
13,0.036420684307813644
14,0.03652193397283554
15,0.0366230271756649
16,0.036724112927913666
17,0.036825209856033325
18,0.036926157772541046
19,0.037027325481176376
20,0.037128474563360214
21,0.0372295044362545
22,0.03733076527714729
23,0.03743227198719978
24,0.037533488124608994
25,0.0376351960003376
26,0.03773706406354904
27,0.03783915191888809
28,0.037941526621580124
29,0.038044221699237823
30,0.0381472222507
31,0.03825121745467186
32,0.03835553303360939
33,0.03846058249473572
34,0.03856627270579338
35,0.03867293521761894
36,0.03878095746040344
37,0.03888917341828346
38,0.03899814933538437
39,0.039106979966163635
40,0.03921538591384888
41,0.039322398602962494
42,0.03942788019776344
43,0.03953070193529129
44,0.03963051363825798
45,0.039726611226797104
46,0.03981876000761986
47,0.039906129240989685
48,0.03998835012316704
49,0.04006510600447655
50,0.04013544321060181
51,0.04020006209611893
52,0.04025741666555405
53,0.04030831530690193
54,0.04035206884145737
55,0.04038839042186737
56,0.04041821137070656
57,0.04044176638126373
58,0.04045924171805382
59,0.04047165811061859
60,0.04047897085547447
61,0.040481749922037125
62,0.0404808446764946
63,0.040475424379110336
64,0.040467169135808945
65,0.0404551699757576
66,0.04043997824192047
67,0.0404217354953289
68,0.04040078446269035
69,0.040376465767621994
70,0.04034975543618202
71,0.04032011330127716
72,0.040287524461746216
73,0.040251895785331726
74,0.04021372273564339
75,0.04017280787229538
76,0.040128886699676514
77,0.040082596242427826
78,0.040033917874097824
79,0.03998328372836113
80,0.03993099555373192
81,0.03987758979201317
82,0.03982319310307503
83,0.03976825624704361
84,0.039713840931653976
85,0.039659369736909866
86,0.039605483412742615
87,0.03955187276005745
88,0.03949939087033272
89,0.03944740071892738
90,0.0393962524831295
91,0.03934532776474953
92,0.03929515182971954
93,0.039244793355464935
94,0.03919496759772301
95,0.039144907146692276
96,0.03909489884972572
97,0.03904487565159798
98,0.03899479657411575
99,0.03894414007663727
100,0.038893405348062515
101,0.03884226828813553
102,0.03879089653491974
103,0.038739435374736786
104,0.03868737816810608
105,0.038635458797216415
106,0.03858303278684616
107,0.0385306216776371
108,0.03847777843475342
109,0.03842456638813019
110,0.038371194154024124
111,0.03831751272082329
112,0.03826320171356201
113,0.03820846229791641
114,0.038153067231178284
115,0.03809688985347748
116,0.03804001212120056
117,0.03798229619860649
118,0.03792380169034004
119,0.03786439076066017
120,0.03780419006943703
121,0.03774325177073479
122,0.03768165409564972
123,0.037619441747665405
124,0.03755680471658707
125,0.03749372810125351
126,0.037430696189403534
127,0.037367578595876694
128,0.037304192781448364
129,0.037241045385599136
130,0.037178099155426025
131,0.03711545094847679
132,0.03705303743481636
133,0.03699114918708801
134,0.0369296558201313
135,0.0368686281144619
136,0.03680818900465965
137,0.036748263984918594
138,0.03668886423110962
139,0.03663010522723198
140,0.03657210245728493
141,0.036514610052108765
142,0.036457713693380356
143,0.03640144690871239
144,0.03634599223732948
145,0.036291029304265976
146,0.036236926913261414
147,0.03618317097425461
148,0.03613002970814705
149,0.03607732057571411
150,0.03602537885308266
151,0.03597373142838478
152,0.03592289984226227
153,0.035872261971235275
